player_id,batters_faced,outs,games_pitched,balls,strikes,hit_batsmen,balks,wild_pitches,strike_outs,runs,base_on_balls,game_date,playerID,nameFirst,nameLast,birthDate,birthYear,birthMonth,birthDay,debut,finalGame,bbrefID,debut_year,final_year
425794,25,18,1,44,65,1,0,0,7,1,3,2009-08-30,wainwad01,Adam,Wainwright,1981-08-30,1981,8,30,2005-09-11,2022-10-02,wainwad01,2005,2022
425794,24,21,1,27,69,0,0,0,7,1,0,2016-08-30,wainwad01,Adam,Wainwright,1981-08-30,1981,8,30,2005-09-11,2022-10-02,wainwad01,2005,2022
429717,22,18,1,35,58,0,0,0,4,1,2,2013-09-17,harenda01,Dan,Haren,1980-09-17,1980,9,17,2003-06-30,2015-10-04,harenda01,2003,2015
429719,26,18,1,35,63,0,0,0,5,2,2,2011-09-09,jacksed01,Edwin,Jackson,1983-09-09,1983,9,9,2003-09-09,2019-09-28,jacksed01,2003,2019
429719,25,14,1,30,50,1,0,0,2,6,2,2012-09-09,jacksed01,Edwin,Jackson,1983-09-09,1983,9,9,2003-09-09,2019-09-28,jacksed01,2003,2019
429719,20,10,1,30,42,0,0,0,5,5,3,2017-09-09,jacksed01,Edwin,Jackson,1983-09-09,1983,9,9,2003-09-09,2019-09-28,jacksed01,2003,2019
429781,27,18,1,39,74,0,0,0,4,3,2,2008-08-24,correke01,Kevin,Correia,1980-08-24,1980,8,24,2003-07-10,2015-07-04,correke01,2003,2015
431162,28,15,1,43,61,1,0,0,4,7,2,2011-06-02,staufti01,Tim,Stauffer,1982-06-02,1982,6,2,2005-05-11,2015-10-01,staufti01,2005,2015
434628,22,15,1,27,53,0,0,0,4,4,0,2015-09-02,hammeja01,Jason,Hammel,1982-09-02,1982,9,2,2006-04-11,2018-09-27,hammeja01,2006,2018
435043,28,18,1,27,56,0,0,0,2,6,0,2009-04-19,dukeza01,Zach,Duke,1983-04-19,1983,4,19,2005-07-02,2019-06-29,dukeza01,2005,2019
448694,26,18,1,39,61,0,0,0,4,2,2,2010-08-28,wellsra01,Randy,Wells,1982-08-28,1982,8,28,2008-04-05,2012-06-26,wellsra01,2008,2012
449881,13,9,1,17,36,0,0,0,3,2,1,2008-07-07,swindrj01,R. J.,Swindle,1983-07-07,1983,7,7,2008-07-07,2009-08-04,swindrj01,2008,2009
452718,25,18,1,31,54,1,0,0,4,1,1,2007-08-26,kendrky01,Kyle,Kendrick,1984-08-26,1984,8,26,2007-06-13,2017-05-10,kendrky01,2007,2017
452718,25,18,1,30,60,0,0,0,1,4,0,2010-08-26,kendrky01,Kyle,Kendrick,1984-08-26,1984,8,26,2007-06-13,2017-05-10,kendrky01,2007,2017
452733,22,18,1,27,57,0,0,0,4,2,1,2013-07-12,gorzeto01,Tom,Gorzelanny,1982-07-12,1982,7,12,2005-09-20,2016-07-03,gorzeto01,2005,2016
453192,27,21,1,43,69,0,0,0,9,2,2,2009-05-21,millean01,Andrew,Miller,1985-05-21,1985,5,21,2006-08-30,2021-10-01,millean01,2006,2021
453281,20,12,1,29,56,0,0,0,4,1,2,2012-08-07,leblawa01,Wade,LeBlanc,1984-08-07,1984,8,7,2008-09-03,2021-08-12,leblawa01,2008,2021
453286,23,18,1,39,70,0,0,0,9,1,3,2017-07-27,scherma01,Max,Scherzer,1984-07-27,1984,7,27,2008-04-29,2022-10-01,scherma01,2008,2022
453286,31,24,1,32,74,1,0,0,11,1,1,2018-07-27,scherma01,Max,Scherzer,1984-07-27,1984,7,27,2008-04-29,2022-10-01,scherma01,2008,2022
453385,27,21,1,40,63,1,0,0,5,2,1,2012-09-12,richacl01,Clayton,Richard,1983-09-12,1983,9,12,2008-07-23,2019-07-13,richacl01,2008,2019
456701,27,18,1,28,69,0,0,0,4,3,1,2012-05-03,baileho02,Homer,Bailey,1986-05-03,1986,5,3,2007-06-08,2020-09-22,baileho02,2007,2020
458690,26,21,1,32,58,0,0,0,5,1,0,2011-09-23,volstch01,Chris,Volstad,1986-09-23,1986,9,23,2008-07-06,2018-07-26,volstch01,2008,2018
458709,24,15,1,38,62,0,0,0,5,3,3,2008-09-27,lannajo01,John,Lannan,1984-09-27,1984,9,27,2007-07-26,2014-04-13,lannajo01,2007,2014
458709,24,17,1,39,56,1,0,1,3,4,1,2010-09-27,lannajo01,John,Lannan,1984-09-27,1984,9,27,2007-07-26,2014-04-13,lannajo01,2007,2014
458709,24,18,1,33,56,1,0,1,4,2,3,2011-09-27,lannajo01,John,Lannan,1984-09-27,1984,9,27,2007-07-26,2014-04-13,lannajo01,2007,2014
459987,11,8,1,19,21,0,0,0,2,0,3,2012-06-22,ramosce01,Cesar,Ramos,1984-06-22,1984,6,22,2009-09-16,2016-07-10,ramosce01,2009,2016
461829,25,18,1,37,68,0,0,0,3,2,2,2013-09-19,gonzagi01,Gio,Gonzalez,1985-09-19,1985,9,19,2008-08-06,2020-09-27,gonzagi01,2008,2020
461829,22,18,1,36,54,0,0,0,5,0,2,2018-09-19,gonzagi01,Gio,Gonzalez,1985-09-19,1985,9,19,2008-08-06,2020-09-27,gonzagi01,2008,2020
462102,8,6,1,10,19,0,0,1,4,1,0,2009-08-28,hansoto01,Tommy,Hanson,1986-08-28,1986,8,28,2009-06-07,2013-09-28,hansoto01,2009,2013
469134,26,17,1,26,47,0,0,0,5,4,1,2010-08-14,rogeres01,Esmil,Rogers,1985-08-14,1985,8,14,2009-09-12,2015-06-12,rogeres01,2009,2015
469134,26,15,1,51,56,0,0,0,5,4,7,2011-08-14,rogeres01,Esmil,Rogers,1985-08-14,1985,8,14,2009-09-12,2015-06-12,rogeres01,2009,2015
474699,8,5,1,15,22,0,0,0,3,1,1,2011-09-25,worleva01,Vance,Worley,1987-09-25,1987,9,25,2010-07-24,2017-09-27,worleva01,2010,2017
476451,25,13,1,33,58,0,0,0,2,3,2,2015-04-08,hellije01,Jeremy,Hellickson,1987-04-08,1987,4,8,2010-08-02,2019-05-19,hellije01,2010,2019
477569,5,3,1,13,15,0,0,0,1,3,2,2017-05-30,salasfe01,Fernando,Salas,1985-05-30,1985,5,30,2010-05-28,2019-07-20,salasfe01,2010,2019
488768,27,14,1,51,66,0,0,0,7,5,5,2015-09-11,cashnan01,Andrew,Cashner,1986-09-11,1986,9,11,2010-05-31,2019-09-28,cashnan01,2010,2019
502028,5,5,1,9,16,0,0,0,2,0,0,2016-08-08,woodbl01,Blake,Wood,1985-08-08,1985,8,8,2010-05-12,2018-04-21,woodbl01,2010,2018
502229,28,18,1,41,49,1,0,0,3,5,6,2011-08-29,whiteal01,Alex,White,1988-08-29,1988,8,29,2011-04-30,2012-09-30,whiteal01,2011,2012
504379,22,13,1,42,52,0,0,0,4,6,3,2013-08-31,nicasju01,Juan,Nicasio,1986-08-31,1986,8,31,2011-05-28,2020-08-17,nicasju01,2011,2020
506433,25,18,1,34,56,0,0,1,2,3,1,2017-08-16,darviyu01,Yu,Darvish,1986-08-16,1986,8,16,2012-04-09,2022-09-30,darviyu01,2012,2022
518586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-10,culbech01,Charlie,Culberson,1989-04-10,1989,4,10,2012-05-13,2022-10-05,culbech01,2012,2022
518716,29,21,1,39,77,0,0,0,7,4,2,2012-04-28,geedi01,Dillon,Gee,1986-04-28,1986,4,28,2010-09-07,2017-09-30,geedi01,2010,2017
519455,28,18,1,35,69,1,0,1,4,4,2,2014-05-23,zimmejo02,Jordan,Zimmermann,1986-05-23,1986,5,23,2009-04-20,2021-05-07,zimmejo02,2009,2021
534910,25,21,1,31,64,0,0,0,3,1,2,2014-07-30,hahnje01,Jesse,Hahn,1989-07-30,1989,7,30,2014-06-03,2021-04-11,hahnje01,2014,2021
544931,27,16,1,46,57,0,0,0,5,4,3,2012-07-20,strasst01,Stephen,Strasburg,1988-07-20,1988,7,20,2010-06-08,2022-06-09,strasst01,2010,2022
544931,24,14,1,34,64,0,0,0,6,6,2,2018-07-20,strasst01,Stephen,Strasburg,1988-07-20,1988,7,20,2010-06-08,2022-06-09,strasst01,2010,2022
545341,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016-08-13,grichra01,Randal,Grichuk,1991-08-13,1991,8,13,2014-04-28,2022-10-05,grichra01,2014,2022
547942,21,18,1,29,55,0,0,0,7,2,1,2021-07-22,kimkw01,Kwang Hyun,Kim,1988-07-22,1988,7,22,2020-07-24,2021-10-02,kimkw01,2020,2021
554234,22,19,1,32,58,0,0,0,4,0,1,2016-05-21,perezwi01,Williams,Perez,1991-05-21,1991,5,21,2015-05-08,2016-09-11,perezwi01,2015,2016
571578,21,15,1,32,54,1,0,1,5,2,1,2015-07-19,corbipa01,Patrick,Corbin,1989-07-19,1989,7,19,2012-04-30,2022-10-02,corbipa01,2012,2022
571578,24,15,1,38,62,0,0,0,5,2,2,2019-07-19,corbipa01,Patrick,Corbin,1989-07-19,1989,7,19,2012-04-30,2022-10-02,corbipa01,2012,2022
571927,13,9,1,15,27,1,0,0,2,0,2,2018-05-29,matzst01,Steven,Matz,1991-05-29,1991,5,29,2015-06-28,2022-10-03,matzst01,2015,2022
591720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2017-09-02,torrero01,Ronald,Torreyes,1992-09-02,1992,9,2,2015-09-13,2021-10-03,torrero01,2015,2021
592767,22,15,1,27,64,0,0,1,6,2,1,2021-06-13,smylydr01,Drew,Smyly,1989-06-13,1989,6,13,2012-04-12,2022-10-01,smylydr01,2012,2022
593372,29,19,1,25,65,0,0,1,6,4,1,2017-09-21,martica04,Carlos,Martinez,1991-09-21,1991,9,21,2013-05-03,2021-07-04,martica04,2013,2021
594798,27,22,1,33,64,0,0,1,3,2,1,2015-06-19,degroja01,Jacob,deGrom,1988-06-19,1988,6,19,2014-05-15,2022-09-30,degroja01,2014,2022
594798,25,18,1,35,63,1,0,0,6,3,1,2016-06-19,degroja01,Jacob,deGrom,1988-06-19,1988,6,19,2014-05-15,2022-09-30,degroja01,2014,2022
596133,11,7,1,13,22,0,0,0,1,1,0,2018-08-21,weavelu01,Luke,Weaver,1993-08-21,1993,8,21,2016-08-13,2022-10-05,weavelu01,2016,2022
605232,22,13,1,39,52,0,0,0,4,5,4,2018-04-14,finnebr01,Brandon,Finnegan,1993-04-14,1993,4,14,2014-09-06,2018-05-06,finnebr01,2014,2018
605452,27,17,1,36,60,0,0,0,7,3,2,2016-05-21,rossjo01,Joe,Ross,1993-05-21,1993,5,21,2015-06-06,2021-08-10,rossjo01,2015,2021
605498,27,18,1,35,52,0,0,0,3,3,3,2018-09-11,suarean01,Andrew,Suarez,1992-09-11,1992,9,11,2018-04-11,2020-09-18,suarean01,2018,2020
607067,24,18,1,40,49,1,0,0,5,2,1,2016-07-01,reaco01,Colin,Rea,1990-07-01,1990,7,1,2015-08-11,2021-10-02,reaco01,2015,2021
607455,18,12,1,27,42,1,0,1,4,3,1,2017-08-10,bandaan01,Anthony,Banda,1993-08-10,1993,8,10,2017-07-22,2022-09-02,bandaan01,2017,2022
608379,22,18,1,31,63,0,0,0,9,0,1,2017-07-01,wachami01,Michael,Wacha,1991-07-01,1991,7,1,2013-05-30,2022-10-02,wachami01,2013,2022
621111,28,16,1,38,62,1,0,0,6,7,3,2019-07-28,buehlwa01,Walker,Buehler,1994-07-28,1994,7,28,2017-09-07,2022-06-10,buehlwa01,2017,2022
621111,25,21,1,28,70,0,0,1,8,0,2,2021-07-28,buehlwa01,Walker,Buehler,1994-07-28,1994,7,28,2017-09-07,2022-06-10,buehlwa01,2017,2022
623352,8,8,1,12,24,0,0,0,3,0,0,2019-04-07,haderjo01,Josh,Hader,1994-04-07,1994,4,7,2017-06-10,2022-10-03,haderjo01,2017,2022
641778,21,18,1,30,52,1,0,0,3,1,3,2019-06-03,lauerer01,Eric,Lauer,1995-06-03,1995,6,3,2018-04-24,2022-10-04,lauerer01,2018,2022
641816,18,15,1,18,56,0,0,0,5,0,0,2019-09-29,mahlety01,Tyler,Mahle,1994-09-29,1994,9,29,2017-08-27,2022-09-03,mahlety01,2017,2022
642547,26,22,1,39,70,0,0,0,9,1,3,2021-06-04,peralfr01,Freddy,Peralta,1996-06-04,1996,6,4,2018-05-13,2022-10-02,peralfr01,2018,2022
643327,22,16,1,37,57,0,0,0,8,2,1,2018-04-21,godleza01,Zack,Godley,1990-04-21,1990,4,21,2015-07-23,2021-06-20,godleza01,2015,2021
656731,22,16,1,33,61,0,0,0,6,1,1,2021-07-28,megilty01,Tylor,Megill,1995-07-28,1995,7,28,2021-06-23,2022-10-04,megilty01,2021,2022
657571,11,9,1,16,36,0,0,0,1,0,0,2018-07-02,ferguca01,Caleb,Ferguson,1996-07-02,1996,7,2,2018-06-06,2022-10-05,ferguca01,2018,2022
659275,21,12,1,32,45,0,0,0,7,6,4,2017-07-18,lametdi01,Dinelson,Lamet,1992-07-18,1992,7,18,2017-05-25,2022-10-04,lametdi01,2017,2022
659275,21,12,1,30,55,0,0,0,5,3,2,2019-07-18,lametdi01,Dinelson,Lamet,1992-07-18,1992,7,18,2017-05-25,2022-10-04,lametdi01,2017,2022
660271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-05,ohtansh01,Shohei,Ohtani,1994-07-05,1994,7,5,2018-03-29,2022-10-05,ohtansh01,2018,2022
660271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-07-05,ohtansh01,Shohei,Ohtani,1994-07-05,1994,7,5,2018-03-29,2022-10-05,ohtansh01,2018,2022
664192,23,15,1,35,60,0,0,0,5,4,3,2019-06-06,lucchjo01,Joey,Lucchesi,1993-06-06,1993,6,6,2018-03-30,2021-06-18,lucchjo01,2018,2021
666129,23,15,1,38,56,0,0,1,6,0,4,2021-08-05,garrebr01,Braxton,Garrett,1997-08-05,1997,8,5,2020-09-13,2022-10-04,garrebr01,2020,2022
